Date,Year,Month,Day,Weekday,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2014-04-21,2014,4,21,Monday,38.880001068115234,38.31999969482422,38.45000076293945,3614300.0,32.672786712646484,-0.0033697023970629125,33.76810319083078,35.029659271240234
2014-04-22,2014,4,22,Tuesday,39.11000061035156,38.380001068115234,38.83000183105469,4335200.0,32.99569320678711,0.009883041106366397,33.65083367483957,34.97958099365234
2014-04-23,2014,4,23,Wednesday,39.470001220703125,38.83000183105469,39.11000061035156,3681000.0,33.23362731933594,0.007211065730841737,33.495619092668804,34.93747299194336
2014-04-24,2014,4,24,Thursday,39.25,38.630001068115234,38.91999816894531,3668200.0,33.07217788696289,-0.0048580141680505395,33.32042012895857,34.879626998901365
2014-04-25,2014,4,25,Friday,38.91999816894531,38.5,38.779998779296875,2446100.0,32.953208923339844,-0.0035972521685651015,33.176570074898855,34.8253182220459
2014-04-28,2014,4,28,Monday,39.41999816894531,38.65999984741211,39.16999816894531,4873100.0,33.28460693359375,0.010056623348119187,33.10494858878,34.77493270874024
2014-04-29,2014,4,29,Tuesday,39.790000915527344,39.09000015258789,39.77000045776367,3915600.0,33.794456481933594,0.015317878001595453,33.04607309613909,34.735082092285154
2014-04-30,2014,4,30,Wednesday,39.650001525878906,39.11000061035156,39.29999923706055,3821400.0,33.395076751708984,-0.011817906597731964,33.00479943411691,34.68910362243653
2014-05-01,2014,5,1,Thursday,39.95000076293945,39.27000045776367,39.720001220703125,4022000.0,33.75197219848633,0.010687067720515975,33.03089959280832,34.65093910217285
2014-05-02,2014,5,2,Friday,40.150001525878906,39.040000915527344,39.279998779296875,3764100.0,33.37808609008789,-0.011077459598500261,33.084312438964844,34.60276107788086
2014-05-05,2014,5,5,Monday,40.029998779296875,38.970001220703125,39.849998474121094,3884600.0,33.86244201660156,0.01451119531558498,33.208740506853374,34.55700134277344
2014-05-06,2014,5,6,Tuesday,39.84000015258789,39.20000076293945,39.31999969482422,5307200.0,33.412071228027344,-0.013300009147403369,33.26640183585031,34.49969856262207
2014-05-07,2014,5,7,Wednesday,39.459999084472656,38.4900016784668,38.790000915527344,5178400.0,32.96170425415039,-0.013479169573275884,33.25365475245884,34.41834358215332
2014-05-08,2014,5,8,Thursday,39.7599983215332,38.380001068115234,39.2400016784668,5717000.0,33.34408950805664,0.011600894509515625,33.293714250837056,34.34294563293457
2014-05-09,2014,5,9,Friday,41.2400016784668,39.939998626708984,40.52000045776367,10389100.0,34.431766510009766,0.032619784135665686,33.41935566493443,34.2931893157959
2014-05-12,2014,5,12,Monday,41.099998474121094,40.63999938964844,41.06999969482422,4459700.0,34.899139404296875,0.013573886607044727,33.5553161076137,34.25159698486328
2014-05-13,2014,5,13,Tuesday,41.68000030517578,40.91999816894531,41.25,4222700.0,35.05207824707031,0.00438230986161825,33.68520545959473,34.22151573181152
2014-05-14,2014,5,14,Wednesday,41.599998474121094,41.220001220703125,41.2400016784668,2880500.0,35.0435905456543,-0.0002421454544346835,33.82602064950125,34.19904067993164
2014-05-15,2014,5,15,Thursday,41.060001373291016,40.31999969482422,40.720001220703125,3384300.0,34.601715087890625,-0.012609308888825277,33.94377108982631,34.17077117919922
